district,pvi_538,white,black,hispanic,native_asian_pacific
PA-1,R+0.68,0.837177466,0.039668761,0.057884081,0.065269692
PA-2,D+47.99,0.385511012,0.269733839,0.261326954,0.083428194
PA-3,D+81.42,0.329391314,0.553626042,0.054353967,0.062628677
PA-4,D+14.76,0.786882654,0.096446624,0.049857791,0.066812931
PA-5,D+25.49,0.626997699,0.253932731,0.046846016,0.072223553
PA-6,D+4.72,0.73167582,0.065406953,0.157823905,0.045093322
PA-7,D+0.52,0.69583461,0.072065517,0.195087859,0.037012014
PA-8,R+4.98,0.795292673,0.059398298,0.123739519,0.021569511
PA-9,R+30.54,0.887653757,0.027937804,0.070960542,0.013447897
PA-10,R+10.68,0.759361447,0.116075547,0.083836271,0.040726734
PA-11,R+27.24,0.844624448,0.039174444,0.093698891,0.022502217
PA-12,R+35.04,0.93162643,0.021253808,0.02472504,0.022394722
PA-13,R+44.51,0.931136562,0.029276812,0.032991982,0.006594644
PA-14,R+27.78,0.94416329,0.031314868,0.014050906,0.010470936
PA-15,R+40.38,0.958478662,0.017404215,0.01486503,0.009252093
PA-16,R+17.48,0.911019992,0.047948727,0.02651178,0.0145195
PA-17,R+5.78,0.888642118,0.061323306,0.018249905,0.031784671
PA-18,D+25.22,0.752602144,0.179068451,0.02458267,0.043746736
