district,pvi_538,white,black,hispanic,native_asian_pacific
TX-1,R+51.65,0.6385,0.1777,0.1712,0.0126
TX-2,R+20.98,0.5016,0.1159,0.3013,0.0814
TX-3,R+25.18,0.608,0.0864,0.1521,0.1535
TX-4,R+57.81,0.7429,0.105,0.135,0.0171
TX-5,R+34.65,0.5477,0.1521,0.2769,0.0233
TX-6,R+19.58,0.5227,0.2031,0.2216,0.0524
TX-7,R+11.85,0.4662,0.1193,0.3115,0.1031
TX-8,R+56.65,0.6716,0.0783,0.2157,0.0344
TX-9,D+54.15,0.1192,0.3767,0.3828,0.1213
TX-10,R+18.51,0.5434,0.109,0.2888,0.0587
TX-11,R+64.68,0.5681,0.0352,0.3832,0.0135
TX-12,R+37.51,0.6551,0.0817,0.2189,0.0442
TX-13,R+68.25,0.6572,0.0498,0.2646,0.0283
TX-14,R+25.48,0.5345,0.1945,0.243,0.028
TX-15,D+10.75,0.1639,0.0191,0.8059,0.0111
TX-16,D+31.35,0.1518,0.0371,0.7947,0.0165
TX-17,R+24.91,0.5717,0.1285,0.2483,0.0514
TX-18,D+49.75,0.1725,0.36,0.4269,0.0406
TX-19,R+54.55,0.5623,0.0561,0.3647,0.0169
TX-20,D+18.52,0.2355,0.0547,0.6781,0.0316
TX-21,R+19.65,0.6365,0.0392,0.2847,0.0397
TX-22,R+19.41,0.4351,0.1323,0.2496,0.183
TX-23,R+4.28,0.2553,0.0293,0.6973,0.0181
TX-24,R+17.28,0.5141,0.099,0.2461,0.1408
TX-25,R+22.98,0.7219,0.0673,0.176,0.0347
TX-26,R+35.65,0.6759,0.0804,0.1769,0.0668
TX-27,R+28.85,0.4094,0.0484,0.5246,0.0177
TX-28,D+14.72,0.1699,0.0364,0.782,0.0117
TX-29,D+35.75,0.1021,0.1079,0.7729,0.017
TX-30,D+54.85,0.1608,0.4312,0.3909,0.0171
TX-31,R+21.25,0.5985,0.1078,0.2429,0.0507
TX-32,R+9.58,0.5265,0.1343,0.2596,0.0795
TX-33,D+42.09,0.1476,0.1611,0.6703,0.0211
TX-34,D+16.15,0.1501,0.012,0.8303,0.0075
TX-35,D+26.19,0.27,0.0803,0.6307,0.0189
TX-36,R+52.71,0.6468,0.094,0.2353,0.0239
